WeatherStation, minTemperature, maxTemperature, minPressure, maxPressure, Humidity, Rain,Conditions, Month,IATACode,Latitude,Longitude,Elevation
New York,-3,6,29.58,30.64,67,85,,1,NYC,40.73061,-73.935242,7
New York,-3,7,29.68,30.75,67,57,,2,NYC,40.73061,-73.935242,7
New York,1,9,29.75,30.48,66,90,,3,NYC,40.73061,-73.935242,7
New York,6,16,29.63,30.31,64,96,,4,NYC,40.73061,-73.935242,7
New York,12,20,29.84,30.38,72,114,,5,NYC,40.73061,-73.935242,7
New York,17,27,29.65,30.2,75,98,,6,NYC,40.73061,-73.935242,7
New York,20,29,29.61,30.1,74,101,,7,NYC,40.73061,-73.935242,7
New York,20,28,29.73,30.18,76,87,,8,NYC,40.73061,-73.935242,7
New York,16,24,29.71,30.42,78,104,,9,NYC,40.73061,-73.935242,7
New York,10,19,29.5,30.51,75,94,,10,NYC,40.73061,-73.935242,7
New York,5,12,29.56,30.64,72,69,,11,NYC,40.73061,-73.935242,7
New York,4,13,29.61,30.66,69,85,,12,NYC,40.73061,-73.935242,7
Bali,23,29,0,0,85,90,Rain,1,DPS,8.3405,115.092,465
Bali,22,30,0,0,75,90,Rain,2,DPS,8.3405,115.092,465
Bali,23,30,0,0,70,90,Rain,3,DPS,8.3405,115.092,465
Bali,22,32,0,0,65,70,Dry,4,DPS,8.3405,115.092,465
Bali,23,33,0,0,60,70,Dry,5,DPS,8.3405,115.092,465
Bali,22,31,0,0,60,50,Sunny,6,DPS,8.3405,115.092,465
Bali,22,31,0,0,60,40,Sunny,7,DPS,8.3405,115.092,465
Bali,22,31,0,0,60,40,Sunny,8,DPS,8.3405,115.092,465
Bali,22,31,0,0,65,50,Sunny,9,DPS,8.3405,115.092,465
Bali,23,31,0,0,75,60,Rain,10,DPS,8.3405,115.092,465
Bali,23,31,0,0,80,70,Rain,11,DPS,8.3405,115.092,465
Bali,23,30,0,0,85,90,Rain,12,DPS,8.3405,115.092,465
London,5,9,0,0,81,52,,1,LON,51.515419,-0.141099,42
London,5,9,0,0,79,39,,2,LON,51.515419,-0.141099,42
London,6,12,0,0,70,35,,3,LON,51.515419,-0.141099,42
London,7,15,0,0,62,43,,4,LON,51.515419,-0.141099,42
London,10,18,0,0,63,50,,5,LON,51.515419,-0.141099,42
London,13,21,0,0,62,43,,6,LON,51.515419,-0.141099,42
London,15,23,0,0,64,41,,7,LON,51.515419,-0.141099,42
London,15,23,0,0,75,48,,8,LON,51.515419,-0.141099,42
London,13,20,0,0,79,49,,9,LON,51.515419,-0.141099,42
London,10,16,0,0,79,71,,10,LON,51.515419,-0.141099,42
London,7,12,0,0,81,63,,11,LON,51.515419,-0.141099,42
London,5,9,0,0,82,53,,12,LON,51.515419,-0.141099,42
Dubai,14,23,0,0,65,10,,1,DXB,25.276987,55.296249,0
Dubai,15,24,0,0,65,40,,2,DXB,25.276987,55.296249,0
Dubai,17,27,0,0,63,10,,3,DXB,25.276987,55.296249,0
Dubai,20,32,0,0,55,10,,4,DXB,25.276987,55.296249,0
Dubai,24,37,0,0,53,10,,5,DXB,25.276987,55.296249,0
Dubai,37,38,0,0,58,10,,6,DXB,25.276987,55.296249,0
Dubai,26,38,0,0,56,10,,7,DXB,25.276987,55.296249,0
Dubai,29,40,0,0,57,10,,8,DXB,25.276987,55.296249,0
Dubai,27,38,0,0,60,10,,9,DXB,25.276987,55.296249,0
Dubai,23,35,0,0,60,10,,10,DXB,25.276987,55.296249,0
Dubai,19,31,0,0,61,10,,11,DXB,25.276987,55.296249,0
Dubai,16,26,0,0,64,20,,12,DXB,25.276987,55.296249,0
Istanbul,4,8,0,0,78,100,,1,IST,41.015137,28.97953,7
Istanbul,3,8,0,0,77,70,,2,IST,41.015137,28.97953,7
Istanbul,5,11,0,0,70,50,,3,IST,41.015137,28.97953,7
Istanbul,8,16,0,0,70,60,,4,IST,41.015137,28.97953,7
Istanbul,12,20,0,0,70,40,,5,IST,41.015137,28.97953,7
Istanbul,17,26,0,0,61,30,,6,IST,41.015137,28.97953,7
Istanbul,19,28,0,0,59,30,,7,IST,41.015137,28.97953,7
Istanbul,19,28,0,0,60,20,,8,IST,41.015137,28.97953,7
Istanbul,16,25,0,0,62,50,,9,IST,41.015137,28.97953,7
Istanbul,12,19,0,0,70,60,,10,IST,41.015137,28.97953,7
Istanbul,9,14,0,0,77,100,,11,IST,41.015137,28.97953,7
Istanbul,6,10,0,0,78,100,,12,IST,41.015137,28.97953,7
Chennai,20.4,28.8,0,0,90,240,,1,MAA,13.067439,80.237617,13
Chennai,21.1,30.5,0,0,90,280,,2,MAA,13.067439,80.237617,13
Chennai,23,32.6,0,0,90,260,,3,MAA,13.067439,80.237617,13
Chennai,25.8,34.7,0,0,88,190,,4,MAA,13.067439,80.237617,13
Chennai,27.6,37.4,0,0,77,590,,5,MAA,13.067439,80.237617,13
Chennai,27.4,37.3,0,0,68,210,,6,MAA,13.067439,80.237617,13
Chennai,26.1,35.3,0,0,77,290,,7,MAA,13.067439,80.237617,13
Chennai,25.5,34.5,0,0,79,390,,8,MAA,13.067439,80.237617,13
Chennai,25.2,33.9,0,0,86,370,,9,MAA,13.067439,80.237617,13
Chennai,24.2,31.8,0,0,90,950,,10,MAA,13.067439,80.237617,13
Chennai,22.6,29.4,0,0,91,850,,11,MAA,13.067439,80.237617,13
Chennai,21.2,28.4,0,0,90,710,,12,MAA,13.067439,80.237617,13
Rio de Janeiro,24,32,0,0,79,7.3,,1,GIG,-5.40258,-36.954105,55
Rio de Janeiro,24,33,0,0,80,13.8,,2,GIG,-5.40258,-36.954105,55
Rio de Janeiro,23,32,0,0,81,3.4,,3,GIG,-5.40258,-36.954105,55
Rio de Janeiro,22,31,0,0,82,3,,4,GIG,-5.40258,-36.954105,55
Rio de Janeiro,19,28,0,0,80,1.6,,5,GIG,-5.40258,-36.954105,55
Rio de Janeiro,18,27,0,0,80,0.7,,6,GIG,-5.40258,-36.954105,55
Rio de Janeiro,17,27,0,0,79,2.4,,7,GIG,-5.40258,-36.954105,55
Rio de Janeiro,18,28,0,0,78,4.7,,8,GIG,-5.40258,-36.954105,55
Rio de Janeiro,19,28,0,0,77,9.6,,9,GIG,-5.40258,-36.954105,55
Rio de Janeiro,21,29,0,0,76,12.2,,10,GIG,-5.40258,-36.954105,55
Rio de Janeiro,22,30,0,0,75,12.4,,11,GIG,-5.40258,-36.954105,55
Rio de Janeiro,23,32,0,0,76,10.5,,12,GIG,-5.40258,-36.954105,55
Toronto,-7,0,0,0,77,18.9,,1,YTO,43.653908,-79.384293,92
Toronto,-6,1,0,0,0,11.5,,2,YTO,43.653908,-79.384293,92
Toronto,-2,5,0,0,0,17.7,,3,YTO,43.653908,-79.384293,92
Toronto,3,11,0,0,0,26.6,,4,YTO,43.653908,-79.384293,92
Toronto,8,17,0,0,0,46.6,,5,YTO,43.653908,-79.384293,92
Toronto,14,23,0,0,0,76.2,,6,YTO,43.653908,-79.384293,92
Toronto,18,26,0,0,0,63.6,,7,YTO,43.653908,-79.384293,92
Toronto,18,26,0,0,0,45.7,,8,YTO,43.653908,-79.384293,92
Toronto,15,23,0,0,0,52.4,,9,YTO,43.653908,-79.384293,92
Toronto,8,16,0,0,0,48.3,,10,YTO,43.653908,-79.384293,92
Toronto,3,9,0,0,0,41.4,,11,YTO,43.653908,-79.384293,92
Toronto,-3,3,0,0,0,26.8,,12,YTO,43.653908,-79.384293,92
Sydney,19,27,0,0,0,75.5,,1,SYD,-33.865143,151.2099,19
Sydney,20,27,0,0,0,126.1,,2,SYD,-33.865143,151.2099,19
Sydney,18,25,0,0,0,80.4,,3,SYD,-33.865143,151.2099,19
Sydney,15,23,0,0,0,98.3,,4,SYD,-33.865143,151.2099,19
Sydney,12,20,0,0,0,101,,5,SYD,-33.865143,151.2099,19
Sydney,9,18,0,0,0,111,,6,SYD,-33.865143,151.2099,19
Sydney,8,17,0,0,0,56.7,,7,SYD,-33.865143,151.2099,19
Sydney,9,19,0,0,0,63.7,,8,SYD,-33.865143,151.2099,19
Sydney,11,21,0,0,0,66.5,,9,SYD,-33.865143,151.2099,19
Sydney,14,23,0,0,0,46.4,,10,SYD,-33.865143,151.2099,19
Sydney,16,24,0,0,0,65.8,,11,SYD,-33.865143,151.2099,19
Sydney,18,26,0,0,0,65.6,,12,SYD,-33.865143,151.2099,19
Tunis,9,16,0,0,0,59,,1,TUN,36.909721,10.286667,1m
Tunis,8,17,0,0,0,57,,2,TUN,36.909721,10.286667,1m
Tunis,10,20,0,0,0,47,,3,TUN,36.909721,10.286667,1m
Tunis,13,22,0,0,0,38,,4,TUN,36.909721,10.286667,1m
Tunis,16,27,0,0,0,23,,5,TUN,36.909721,10.286667,1m
Tunis,20,31,0,0,0,10,,6,TUN,36.909721,10.286667,1m
Tunis,23,34,0,0,0,3,,7,TUN,36.909721,10.286667,1m
Tunis,23,34,0,0,0,7,,8,TUN,36.909721,10.286667,1m
Tunis,21,30,0,0,0,33,,9,TUN,36.909721,10.286667,1m
Tunis,18,27,0,0,0,66,,10,TUN,36.909721,10.286667,1m
Tunis,13,22,0,0,0,56,,11,TUN,36.909721,10.286667,1m
Tunis,10,18,0,0,0,67,,12,TUN,36.909721,10.286667,1m
